date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-12-28,9.45,9.89,9.89,9.36,119364.09,0.47,4.99,9.536,9.389,9.281,60882.85,50545.41,41450.79
2016-12-27,9.44,9.45,9.42,9.35,24669.1,0.02,0.21,9.424,9.311,9.241,42442.8,40850.84,36995.01
2016-12-26,9.59,9.59,9.4,9.29,43873.72,-0.17,-1.78,9.39,9.282,9.223,46245.86,41789.01,38537.53
2016-12-23,9.42,9.66,9.57,9.39,87223.19,0.17,1.81,9.392,9.245,9.211,52002.22,42094.64,41932.57
2016-12-22,9.35,9.43,9.4,9.31,29284.17,0.07,0.75,9.304,9.218,9.206,38414.49,35850.95,46682.48
2016-12-21,9.4,9.44,9.33,9.26,27163.82,0.08,0.86,9.242,9.207,9.186,40207.97,35708.13,48032.18
2016-12-20,9.4,9.4,9.25,9.18,43684.38,-0.16,-1.7,9.198,9.208,9.178,39258.87,36736.91,48868.44
2016-12-19,9.11,9.48,9.41,9.11,72655.53,0.28,3.07,9.174,9.204,9.183,37332.16,34402.52,48517.48
2016-12-16,9.1,9.15,9.13,9.05,19284.55,0.04,0.44,9.098,9.181,9.18,32187.06,31703.44,47416.15
2016-12-15,9.1,9.23,9.09,9.05,38251.55,-0.02,-0.22,9.132,9.177,9.197,33287.4,32455.52,50105.99
2016-12-14,9.12,9.15,9.11,9.04,22418.35,-0.02,-0.22,9.172,9.172,9.217,31208.29,32356.16,50517.29
2016-12-13,9.03,9.15,9.13,8.97,34050.84,0.1,1.11,9.218,9.171,9.23,34214.95,33139.19,52211.53
2016-12-12,9.3,9.35,9.03,9.0,46930.01,-0.27,-2.9,9.234,9.164,9.243,31472.88,35286.05,53736.2
2016-12-09,9.32,9.34,9.3,9.25,24786.26,0.01,0.11,9.264,9.177,9.261,31219.83,41770.5,55953.22
2016-12-08,9.3,9.39,9.29,9.23,27856.0,-0.05,-0.54,9.222,9.193,9.25,31623.63,57514.02,57497.73
2016-12-07,9.29,9.47,9.34,9.26,37451.64,0.13,1.41,9.172,9.165,9.225,33504.03,60356.23,58087.99
2016-12-06,9.18,9.25,9.21,9.11,20340.51,0.03,0.33,9.124,9.147,9.196,32063.43,60999.97,58046.35
2016-12-05,9.1,9.38,9.18,9.0,45664.72,0.09,0.99,9.094,9.161,9.173,39099.21,62632.43,59236.97
2016-12-02,9.15,9.15,9.09,9.06,26805.28,0.05,0.55,9.09,9.179,9.153,52321.17,63128.86,58699.26
2016-12-01,9.15,9.18,9.04,9.03,37258.01,-0.06,-0.66,9.164,9.217,9.138,83404.41,67756.47,59167.6
2016-11-30,9.02,9.2,9.1,9.0,30248.62,0.04,0.44,9.158,9.261,9.125,87208.43,68678.41,60012.72
