,date,open,close,high,low,volume,code
37,2017-08-31,57.02,57.52,58.79,57.02,13270.0,603757
38,2017-09-01,57.54,56.3,57.98,56.13,15483.0,603757
39,2017-09-04,56.9,57.1,57.55,56.0,14649.0,603757
40,2017-09-05,56.61,56.94,57.22,56.04,10050.0,603757
41,2017-09-06,56.4,58.36,58.48,56.07,10821.0,603757
42,2017-09-07,58.09,58.3,59.98,58.09,13836.0,603757
43,2017-09-08,58.0,56.83,58.55,56.47,9127.0,603757
44,2017-09-11,57.6,56.71,57.6,55.77,19589.0,603757
45,2017-09-12,56.45,54.23,56.5,53.62,21842.0,603757
46,2017-09-13,54.01,54.33,54.78,53.72,8301.0,603757
47,2017-09-14,54.7,54.56,55.66,54.22,13609.0,603757
48,2017-09-15,54.78,54.65,55.46,54.4,9365.0,603757
49,2017-09-18,55.25,54.94,55.79,54.5,7541.0,603757
50,2017-09-19,54.96,53.05,54.98,52.5,14140.0,603757
51,2017-09-20,53.02,53.78,53.99,52.63,7181.0,603757
52,2017-09-21,53.79,54.91,55.34,53.79,10757.0,603757
53,2017-09-22,54.61,55.08,55.89,54.41,8182.0,603757
54,2017-09-25,54.6,54.61,55.18,54.35,6168.0,603757
55,2017-09-26,54.6,55.47,55.55,52.69,16181.0,603757
56,2017-09-27,55.18,57.63,57.72,55.18,15729.0,603757
57,2017-09-28,57.7,57.15,57.75,56.68,8419.0,603757
58,2017-09-29,57.8,57.71,59.69,57.0,11462.0,603757
59,2017-10-09,58.96,57.24,58.96,56.46,11075.0,603757
60,2017-10-10,56.81,57.26,57.4,56.4,7015.0,603757
61,2017-10-11,57.26,56.66,57.9,56.5,7137.0,603757
62,2017-10-12,56.58,56.86,57.77,56.3,8156.0,603757
63,2017-10-13,56.86,58.66,59.0,56.45,15972.0,603757
64,2017-10-16,59.0,58.8,59.5,57.7,17892.0,603757
65,2017-10-17,58.38,62.04,64.35,58.05,22238.0,603757
66,2017-10-18,62.0,63.32,63.49,60.8,16650.0,603757
67,2017-10-19,62.0,65.21,65.28,62.0,16227.0,603757
68,2017-10-20,65.2,63.65,66.7,63.22,16318.0,603757
69,2017-10-23,63.95,64.37,65.47,63.0,11589.0,603757
70,2017-10-24,64.35,60.56,64.35,59.92,24196.0,603757
71,2017-10-25,60.98,62.19,62.35,60.05,19627.0,603757
72,2017-10-26,62.28,61.31,62.38,60.81,20641.0,603757
73,2017-10-27,61.28,63.6,64.98,61.0,23479.0,603757
74,2017-10-30,63.68,66.0,66.97,63.1,32582.0,603757
75,2017-10-31,65.0,67.25,67.92,64.12,29453.0,603757
76,2017-11-01,66.66,67.96,69.33,66.36,29259.0,603757
77,2017-11-02,67.5,66.9,70.28,66.8,27973.0,603757
78,2017-11-03,66.81,67.24,67.53,65.58,16953.0,603757
79,2017-11-06,67.8,67.95,68.45,66.6,14575.0,603757
80,2017-11-07,67.99,69.55,70.2,66.77,19249.0,603757
81,2017-11-08,69.27,68.01,71.88,67.89,19176.0,603757
82,2017-11-09,68.0,69.03,69.44,67.51,11010.0,603757
83,2017-11-10,69.0,70.53,70.88,68.7,16516.0,603757
84,2017-11-13,71.0,72.91,73.99,70.17,15295.0,603757
85,2017-11-14,73.1,69.88,73.1,69.8,18939.0,603757
86,2017-11-15,69.81,71.88,72.5,69.81,21757.0,603757
87,2017-11-16,71.8,68.58,72.21,68.4,14413.0,603757
88,2017-11-17,68.4,64.09,69.15,63.01,15918.0,603757
89,2017-11-20,64.58,67.01,67.2,63.1,12606.0,603757
90,2017-11-21,67.0,66.96,68.9,64.01,12190.0,603757
91,2017-11-22,66.29,66.87,67.85,65.26,10931.0,603757
92,2017-11-23,66.0,67.41,69.44,65.83,14287.0,603757
93,2017-11-24,66.71,70.31,70.43,66.66,13540.0,603757
94,2017-11-27,69.88,66.01,70.22,63.3,16576.0,603757
95,2017-11-28,65.79,66.74,67.3,65.51,8294.0,603757
96,2017-11-29,66.6,64.98,66.96,63.85,10590.0,603757
97,2017-11-30,65.0,62.91,65.48,62.51,11133.0,603757
98,2017-12-01,62.46,63.79,64.2,62.3,6725.0,603757
99,2017-12-04,62.99,57.62,63.3,57.41,22802.0,603757
100,2017-12-05,57.29,56.65,58.84,55.71,10367.0,603757
101,2017-12-06,56.51,57.2,57.94,54.7,9617.0,603757
102,2017-12-07,57.0,55.78,57.25,55.41,10276.0,603757
103,2017-12-08,55.8,57.06,57.88,55.05,13858.0,603757
104,2017-12-11,57.06,58.56,58.58,57.0,9423.0,603757
105,2017-12-12,58.35,56.19,58.56,56.18,10527.0,603757
106,2017-12-13,56.19,57.5,57.71,56.06,6537.0,603757
107,2017-12-14,57.1,58.38,58.56,57.01,7455.0,603757
108,2017-12-15,58.04,57.77,59.2,57.02,9116.0,603757
109,2017-12-18,57.99,58.2,58.3,57.3,5310.0,603757
110,2017-12-19,57.93,58.54,58.77,57.8,5600.0,603757
111,2017-12-20,58.37,58.86,59.38,58.23,6966.0,603757
112,2017-12-21,58.86,57.81,59.13,56.11,9068.0,603757
113,2017-12-22,57.9,57.46,58.0,57.03,4906.0,603757
114,2017-12-25,57.46,55.7,57.59,55.2,8509.0,603757
115,2017-12-26,55.51,57.98,58.03,55.3,7897.0,603757
116,2017-12-27,58.01,58.01,59.9,57.59,9776.0,603757
117,2017-12-28,58.1,59.62,59.95,57.85,7644.0,603757
118,2017-12-29,59.4,59.77,59.89,58.91,4627.0,603757
119,2018-01-02,59.81,61.54,61.7,59.49,6351.0,603757
120,2018-01-03,61.25,61.08,61.73,60.56,7705.0,603757
121,2018-01-04,60.97,60.33,61.71,60.01,4309.0,603757
122,2018-01-05,60.12,60.49,60.84,59.7,4121.0,603757
123,2018-01-08,60.49,59.1,60.67,58.48,7201.0,603757
124,2018-01-09,59.15,59.6,60.43,58.49,5310.0,603757
125,2018-01-10,59.8,58.42,59.95,58.02,4636.0,603757
126,2018-01-11,58.48,59.34,59.8,57.89,4134.0,603757
127,2018-01-12,59.87,57.63,59.87,57.57,5777.0,603757
128,2018-01-15,57.23,54.24,57.35,53.9,11423.0,603757
129,2018-01-16,54.01,54.13,55.35,53.3,8089.0,603757
130,2018-01-17,54.18,54.82,55.66,53.49,6514.0,603757
131,2018-01-18,55.05,55.56,56.3,54.93,3962.0,603757
132,2018-01-19,55.33,55.3,56.48,55.0,5451.0,603757
133,2018-01-22,54.8,56.0,56.78,53.9,6822.0,603757
134,2018-01-23,55.88,55.79,56.15,55.47,3816.0,603757
135,2018-01-24,55.79,56.36,56.52,55.13,3788.0,603757
136,2018-01-25,56.27,54.58,56.38,54.54,9561.0,603757
137,2018-01-26,55.1,54.66,55.35,54.1,3227.0,603757
138,2018-01-29,56.0,55.81,57.07,55.21,14829.0,603757
139,2018-01-30,55.31,55.58,55.98,55.25,5864.0,603757
140,2018-01-31,55.57,55.68,56.47,55.11,5610.0,603757
141,2018-02-01,55.68,57.03,57.9,55.68,13696.0,603757
142,2018-02-02,56.29,55.31,56.62,52.02,9121.0,603757
143,2018-02-05,54.88,53.15,54.98,52.52,6152.0,603757
144,2018-02-06,52.0,49.11,52.17,49.02,9289.0,603757
145,2018-02-07,50.15,49.91,50.51,47.48,6080.0,603757
146,2018-02-08,49.57,50.45,50.78,49.25,2795.0,603757
147,2018-02-09,49.0,49.07,49.98,48.57,3278.0,603757
148,2018-02-12,49.33,51.51,51.78,49.33,4158.0,603757
149,2018-02-13,51.36,51.43,51.88,51.12,2759.0,603757
150,2018-02-14,51.5,52.47,52.8,51.5,2343.0,603757
151,2018-02-22,52.87,53.01,53.3,51.53,3333.0,603757
152,2018-02-23,52.55,53.04,53.97,52.55,2589.0,603757
153,2018-02-26,53.5,54.33,54.51,53.31,3515.0,603757
154,2018-02-27,54.39,54.68,55.3,54.08,4119.0,603757
155,2018-02-28,54.41,54.56,54.88,54.13,2642.0,603757
156,2018-03-01,54.49,55.21,55.34,54.0,3884.0,603757
157,2018-03-02,54.98,53.74,54.98,53.65,4143.0,603757
158,2018-03-05,54.11,54.99,55.0,53.86,3866.0,603757
159,2018-03-06,55.03,55.06,55.29,54.52,4749.0,603757
160,2018-03-07,55.25,55.58,56.2,55.03,6409.0,603757
161,2018-03-08,55.31,56.7,56.99,55.3,5536.0,603757
162,2018-03-09,56.84,57.22,57.67,56.32,5200.0,603757
163,2018-03-12,57.22,57.19,57.77,56.92,5787.0,603757
164,2018-03-13,57.37,57.28,57.7,57.04,4299.0,603757
165,2018-03-14,56.7,56.74,57.94,56.5,5532.0,603757
166,2018-03-15,56.6,54.58,57.39,53.79,9970.0,603757
167,2018-03-16,54.31,54.83,55.33,54.3,3980.0,603757
168,2018-03-19,54.85,55.44,55.83,54.37,4235.0,603757
169,2018-03-20,54.8,56.92,57.18,54.3,7143.0,603757
170,2018-03-21,56.6,57.05,57.73,56.37,6820.0,603757
171,2018-03-22,56.98,57.28,57.66,56.52,5411.0,603757
172,2018-03-23,55.28,54.15,57.0,53.2,6481.0,603757
173,2018-03-26,53.68,55.59,55.78,53.02,10544.0,603757
174,2018-03-27,56.18,58.49,58.5,55.78,13327.0,603757
175,2018-03-28,57.8,59.03,59.49,57.4,12696.0,603757
176,2018-03-29,59.5,57.39,59.5,56.87,15947.0,603757
177,2018-03-30,57.3,56.89,57.35,55.75,16597.0,603757
178,2018-04-02,57.2,56.27,58.18,56.0,10730.0,603757
179,2018-04-03,55.07,54.06,55.27,53.11,10515.0,603757
180,2018-04-04,54.5,52.62,54.64,52.06,9551.0,603757
181,2018-04-09,52.65,53.83,53.97,52.1,8232.0,603757
182,2018-04-10,53.5,54.12,54.54,53.2,6931.0,603757
183,2018-04-11,54.31,55.52,55.89,54.0,10379.0,603757
